product,week,sales,price,promotion_flag,season,month,revenue,profit,inventory,lag_1_sales,lag_2_sales
Mozzarella,3,10200,7.5,0,winter,1,76500.0,25245.0,13260.0,,
Mozzarella,4,10550,7.5,0,winter,1,79125.0,26111.25,13715.0,,
Mozzarella,5,10900,7.5,0,winter,2,81750.0,26977.5,14170.0,,
Mozzarella,6,11200,7.5,0,winter,2,84000.0,27720.0,14560.0,,
Mozzarella,7,11600,7.5,0,winter,2,87000.0,28710.0,15080.0,,
Mozzarella,8,11900,7.5,0,winter,2,89250.0,29452.5,15470.0,,
Mozzarella,9,12200,7.5,0,winter,3,91500.0,30195.0,15860.0,,
Mozzarella,10,12500,7.5,0,winter,3,93750.0,30937.5,16250.0,,
Mozzarella,11,12700,7.5,0,winter,3,95250.0,31432.5,16510.0,,
Mozzarella,12,13000,7.5,0,winter,3,97500.0,32175.0,16900.0,,
Mozzarella,13,13250,7.5,0,winter,4,99375.0,32793.75,17225.0,,
Mozzarella,14,13400,7.5,0,spring,4,100500.0,33165.0,17420.0,,
Mozzarella,15,13500,7.5,0,spring,4,101250.0,33412.5,17550.0,,
Mozzarella,16,13600,7.5,0,spring,4,102000.0,33660.0,17680.0,,
Mozzarella,17,13850,7.5,0,spring,5,103875.0,34278.75,18005.0,,
Mozzarella,18,14000,7.5,0,spring,5,105000.0,34650.0,18200.0,,
Mozzarella,19,14150,7.5,0,spring,5,106125.0,35021.25,18395.0,,
Mozzarella,20,14300,7.5,0,spring,5,107250.0,35392.5,18590.0,,
Mozzarella,21,14450,7.5,0,spring,6,108375.0,35763.75,18785.0,,
Mozzarella,22,14200,7.5,0,spring,6,106500.0,35145.0,18460.0,,
Mozzarella,23,13900,7.5,0,spring,6,104250.0,34402.5,18070.0,,
Mozzarella,24,13500,7.5,0,spring,6,101250.0,33412.5,17550.0,,
Mozzarella,25,13000,7.5,0,spring,7,97500.0,32175.0,16900.0,,
Mozzarella,26,12800,7.5,0,spring,7,96000.0,31680.0,16640.0,,
Mozzarella,27,12600,7.5,0,summer,7,94500.0,31185.0,16380.0,,
Mozzarella,28,12400,7.5,0,summer,7,93000.0,30690.0,16120.0,,
Mozzarella,29,12700,7.5,0,summer,8,95250.0,31432.5,16510.0,,
Mozzarella,30,13000,7.5,0,summer,8,97500.0,32175.0,16900.0,,
Mozzarella,31,13400,7.5,0,summer,8,100500.0,33165.0,17420.0,,
Mozzarella,32,13750,7.5,0,summer,8,103125.0,34031.25,17875.0,,
Mozzarella,33,14000,7.5,0,summer,9,105000.0,34650.0,18200.0,,
Mozzarella,34,14250,7.5,0,summer,9,106875.0,35268.75,18525.0,,
Mozzarella,35,14500,7.5,0,summer,9,108750.0,35887.5,18850.0,,
Mozzarella,36,14700,7.5,0,summer,9,110250.0,36382.5,19110.0,,
Mozzarella,37,14900,7.5,0,summer,10,111750.0,36877.5,19370.0,,
Mozzarella,38,15200,7.5,0,summer,10,114000.0,37620.0,19760.0,,
Mozzarella,39,15300,7.5,0,summer,10,114750.0,37867.5,19890.0,,
Mozzarella,40,15450,7.5,0,fall,10,115875.0,38238.75,20085.0,,
Mozzarella,41,15600,7.5,0,fall,11,117000.0,38610.0,20280.0,,
Mozzarella,42,15800,7.5,0,fall,11,118500.0,39105.0,20540.0,,
Mozzarella,43,15900,7.5,0,fall,11,119250.0,39352.5,20670.0,,
Mozzarella,44,16100,7.5,0,fall,11,120750.0,39847.5,20930.0,,
Mozzarella,45,16300,7.5,0,fall,12,122250.0,40342.5,21190.0,,
Mozzarella,46,16450,7.5,0,fall,12,123375.0,40713.75,21385.0,,
Mozzarella,47,16600,7.5,0,fall,12,124500.0,41085.0,21580.0,,
Mozzarella,48,16800,7.5,0,fall,12,126000.0,41580.0,21840.0,,
Mozzarella,49,17000,7.5,0,fall,12,127500.0,42075.0,22100.0,,
Mozzarella,50,17200,7.5,0,fall,12,129000.0,42570.0,22360.0,,
Mozzarella,51,17400,7.5,0,fall,12,130500.0,43065.0,22620.0,,
Mozzarella,52,17500,7.5,0,fall,12,131250.0,43312.5,22750.0,,
